95,3453.02,-5.95,53.47,8.41
96,3492.94,-6.32,53.01,8.22
97,3422.37,-6.04,53.32,8.07
98,3396.25,-5.86,53.62,7.98
99,3439.8,-6.05,53.4,8.15
100,3477.12,-6.16,53.8,7.91
101,3468.33,-6.16,53.74,7.92
102,3490.03,-6.13,53.33,7.89
103,3391.51,-5.99,53.1,8.49
104,3464.01,-6.34,53.02,8.21
105,3407.31,-6.02,53.33,8.07
106,3393.34,-6.01,53.29,8.02
107,3434.74,-6.16,53.31,8.19
108,3476.78,-6.19,53.47,7.93
109,3474.13,-6.23,53.42,7.97
110,3471.29,-6.21,53.06,7.91
111,3390.85,-5.99,53.0,8.46
112,3471.2,-6.37,52.98,8.21
113,3391.29,-6.09,53.28,8.06
114,3393.0,-5.93,53.12,8.01
115,3439.29,-6.16,53.13,8.17
116,3452.89,-6.26,53.1,7.97
117,3451.01,-6.24,53.19,7.95
118,3443.22,-6.72,53.89,7.81
119,3385.69,-5.99,52.67,8.48
120,3476.46,-6.45,52.75,8.23
121,3416.23,-6.17,53.08,8.04
122,3395.82,-5.99,52.91,7.99
123,3423.81,-6.35,53.15,8.19
124,3460.5,-6.4,53.16,7.91
125,3447.77,-6.42,53.18,7.93
126,3450.93,-6.36,52.45,7.93
127,3340.67,-6.8,51.09,8.76
128,3234.35,-7.01,53.84,7.96
129,3158.45,-7.08,53.39,8.0
130,3159.35,-7.04,53.18,7.94
131,3193.16,-7.2,53.19,8.19
132,3264.45,-7.1,53.58,8.01
133,3230.19,-7.32,53.05,8.03
134,3272.65,-7.22,53.27,7.92
135,3149.91,-6.92,52.58,8.57
136,3237.64,-7.33,52.85,8.3
137,3205.37,-6.57,53.94,8.02
138,3220.81,-6.91,52.76,8.01
139,3249.43,-6.72,53.44,8.25
140,3309.11,-7.0,53.32,7.99
141,3313.83,-6.51,54.14,8.01
142,3298.38,-7.16,52.84,7.97
143,3213.44,-6.69,52.94,8.52
144,3272.92,-7.18,53.25,8.2
145,3215.11,-6.87,53.28,8.03
146,3240.33,-6.62,53.5,7.97
147,3257.87,-6.82,53.68,8.12
148,3318.78,-6.98,53.42,7.96
149,3286.07,-7.11,53.46,8.0
150,3331.35,-6.69,53.75,7.93
151,3211.44,-6.79,52.97,8.46
152,3275.02,-7.21,53.21,8.21
153,3241.84,-6.38,54.03,8.01
154,3250.85,-6.49,53.57,7.91
155,3277.21,-6.9,53.37,8.16
156,3338.78,-7.0,53.38,7.94
157,3299.82,-6.76,53.52,7.96
158,3344.29,-6.81,53.43,7.92
159,3233.15,-6.58,52.64,8.51
160,3332.0,-7.02,53.06,8.18
161,3284.91,-6.47,53.5,7.97
162,3303.08,-6.32,53.68,7.92
163,3315.59,-6.54,53.54,8.1
164,3377.68,-6.54,53.77,7.88
165,3359.85,-6.81,53.53,7.96
166,3384.78,-6.76,53.38,7.94
167,3278.95,-6.49,53.19,8.48
168,3344.47,-6.93,53.24,8.17
169,3305.59,-6.5,53.79,7.95
170,3305.48,-6.46,53.71,7.86
171,3359.81,-6.34,54.42,8.03
172,3402.17,-6.64,53.98,7.89
173,3359.38,-6.63,54.06,7.91
174,3378.21,-6.86,53.5,7.91
175,3287.76,-6.4,53.02,8.47
176,3361.24,-6.73,53.47,8.18
177,3321.91,-6.24,53.94,7.93
178,3306.49,-6.42,53.43,7.87
179,3355.57,-6.11,54.08,8.07
180,3393.09,-6.63,53.73,7.88
181,3356.7,-6.67,53.34,7.92
182,3384.11,-6.5,53.24,7.94
183,3274.47,-6.46,52.67,8.5
184,3362.08,-6.76,52.98,8.19
185,3311.73,-6.36,53.54,7.94
186,3326.43,-6.36,53.45,7.87
187,3360.03,-6.24,53.99,8.02
188,3404.08,-6.24,54.2,7.81
189,3364.75,-6.5,53.9,7.83
190,3409.32,-6.45,53.55,7.89
191,3284.17,-6.46,52.21,8.5
192,3334.12,-7.04,52.15,8.26
193,3299.07,-6.64,52.95,8.01
194,3299.33,-6.47,53.0,7.9
195,3325.1,-6.54,53.72,8.04
196,3361.59,-6.66,53.57,7.86
197,3366.35,-6.45,53.58,7.87
198,3371.85,-6.66,53.3,7.84
199,3260.49,-6.42,52.53,8.48
200,3360.98,-6.82,52.68,8.24
201,3277.79,-6.61,53.01,8.04
202,3321.73,-6.43,53.3,7.93
203,3338.57,-6.58,53.48,8.06
204,3381.39,-7.34,54.34,7.76
205,3367.57,-6.59,53.84,7.81
206,3401.02,-6.61,53.6,7.83
207,3284.89,-6.53,53.01,8.47
208,3362.12,-6.92,53.24,8.21
209,3307.5,-6.56,53.36,8.04
210,3317.74,-6.43,53.33,7.96
211,3334.92,-6.63,53.57,8.1
212,3389.03,-6.64,53.55,7.87
213,3376.53,-6.61,53.88,7.89
214,3395.38,-6.64,53.32,7.86
215,3276.01,-6.44,52.65,8.46
216,3378.2,-6.86,52.89,8.21
217,3313.93,-6.55,53.16,8.06
218,3335.92,-6.42,52.87,7.97
219,3342.46,-6.49,53.35,8.1
220,3402.46,-6.63,53.27,7.93
221,3383.28,-6.63,53.29,7.91
222,3406.74,-6.64,53.34,7.87
223,3279.26,-6.44,52.78,8.46
224,3418.46,-6.85,53.0,8.21
225,3342.27,-6.55,53.4,8.04
226,3365.33,-6.43,53.28,7.98
227,3368.6,-6.61,53.55,8.14
228,3432.3,-6.71,53.69,7.93
229,3400.21,-6.65,53.74,7.91
230,3439.34,-6.64,53.58,7.88
231,3306.46,-6.49,52.89,8.48
232,3406.16,-6.85,53.08,8.2
233,3357.5,-6.51,53.38,8.03
234,3371.1,-6.48,53.04,8.01
235,3378.81,-6.64,53.19,8.17
236,3442.68,-6.69,53.31,7.92
237,3402.91,-6.67,53.55,7.95
238,3436.48,-6.7,53.12,7.9
239,3296.78,-6.5,52.2,8.5
240,3426.81,-6.86,52.74,8.22
241,3358.25,-6.54,52.69,8.07
242,3398.6,-6.45,52.71,8.0
243,3394.18,-6.68,53.03,8.17
244,3445.39,-6.75,52.76,7.98
245,3417.88,-6.73,52.87,7.98
246,3448.79,-6.74,52.64,7.92
247,3315.56,-6.58,51.75,8.53
248,3442.1,-6.95,52.15,8.24
249,3385.76,-6.58,52.7,8.03
250,3397.9,-6.54,52.52,7.99
251,3415.1,-6.8,52.48,8.17
252,3457.29,-6.9,52.64,7.92
253,3449.19,-6.91,52.59,7.92
254,3447.71,-7.04,52.21,7.91
255,3309.89,-7.03,50.94,8.6
256,3330.87,-7.16,52.44,7.96
257,3237.32,-7.05,52.03,7.96
258,3282.78,-6.88,52.26,7.87
259,3295.76,-7.19,51.92,8.14
260,3309.63,-7.24,51.39,8.01
261,3319.59,-7.16,51.68,7.97
262,3331.7,-7.05,52.21,7.85
263,3235.17,-6.94,51.18,8.52
264,3299.99,-7.27,51.83,8.2
265,3247.07,-6.86,52.35,7.95
266,3316.32,-6.78,51.99,7.93
267,3326.82,-7.09,51.91,8.15
268,3378.68,-7.07,51.48,7.96
269,3371.55,-7.02,52.15,7.92
270,3367.55,-7.08,52.15,7.88
271,3271.7,-6.83,51.5,8.49
272,3316.63,-7.08,52.23,8.11
273,3285.59,-6.8,51.8,7.98
274,3352.59,-6.73,52.16,7.93
275,3335.82,-6.93,52.06,8.12
276,3368.22,-7.01,51.55,7.97
277,3370.53,-6.97,51.84,7.95
278,3373.64,-6.93,51.81,7.88
279,3268.4,-6.7,51.16,8.48
280,3341.89,-7.01,51.48,8.17
281,3291.56,-6.66,51.59,7.97
282,3340.7,-6.54,51.72,7.89
283,3352.15,-6.84,51.76,8.12
284,3377.89,-6.93,51.25,7.98
285,3385.18,-6.82,51.82,7.93
286,3384.88,-6.92,51.82,7.91
