124,3465.02,-6.51,53.18,7.78);
125,3452.88,-6.53,53.21,7.8);
126,3457.39,-6.43,52.53,7.78);
127,3343.5,-6.97,51.09,8.65);
128,3238.65,-7.1,53.86,7.83);
129,3162.77,-7.17,53.43,7.87);
130,3163.92,-7.12,53.21,7.8);
131,3196.93,-7.31,53.21,8.05);
132,3269.08,-7.19,53.62,7.87);
133,3235.02,-7.39,53.1,7.89);
134,3277.34,-7.29,53.31,7.78);
135,3152.58,-7.08,52.58,8.45);
136,3241.89,-7.42,52.89,8.16);
137,3208.56,-6.71,53.93,7.9);
138,3225.37,-7.0,52.8,7.88);
139,3252.11,-6.86,53.42,8.14);
140,3314.14,-7.09,53.36,7.85);
141,3316.57,-6.65,54.11,7.9);
142,3303.21,-7.23,52.9,7.83);
143,3216.2,-6.85,52.94,8.41);
144,3277.07,-7.27,53.29,8.06);
145,3219.34,-6.97,53.3,7.9);
146,3244.51,-6.73,53.51,7.84);
147,3261.62,-6.93,53.69,7.99);
148,3323.54,-7.06,53.46,7.82);
149,3290.82,-7.18,53.5,7.86);
150,3335.21,-6.81,53.76,7.8);
151,3214.32,-6.94,52.98,8.34);
152,3279.38,-7.3,53.25,8.07);
153,3244.68,-6.52,54.0,7.9);
154,3255.25,-6.6,53.59,7.78);
155,3280.89,-7.02,53.38,8.04);
156,3343.9,-7.07,53.43,7.8);
157,3304.16,-6.86,53.56,7.83);
158,3348.63,-6.9,53.47,7.79);
159,3235.64,-6.75,52.63,8.4);
160,3336.54,-7.12,53.09,8.04);
161,3288.84,-6.59,53.51,7.84);
162,3306.84,-6.46,53.67,7.8);
163,3318.09,-6.69,53.53,7.99);
164,3381.92,-6.65,53.8,7.75);
165,3364.36,-6.9,53.56,7.82);
166,3389.35,-6.86,53.41,7.81);
167,3281.75,-6.66,53.17,8.37);
168,3348.58,-7.03,53.28,8.03);
169,3310.23,-6.62,53.8,7.82);
170,3309.92,-6.57,53.72,7.73);
171,3362.81,-6.49,54.4,7.92);
172,3407.05,-6.73,54.01,7.75);
173,3363.6,-6.73,54.1,7.77);
174,3382.8,-6.95,53.54,7.78);
175,3290.25,-6.58,53.0,8.36);
176,3364.81,-6.86,53.48,8.05);
177,3325.67,-6.38,53.94,7.81);
178,3311.28,-6.52,53.45,7.74);
179,3357.43,-6.28,54.02,7.97);
180,3397.86,-6.72,53.77,7.74);
181,3361.13,-6.77,53.37,7.79);
182,3387.23,-6.64,53.23,7.83);
183,3277.21,-6.63,52.67,8.39);
184,3365.98,-6.88,53.0,8.07);
185,3316.21,-6.48,53.56,7.81);
186,3331.34,-6.47,53.46,7.74);
187,3363.27,-6.39,53.98,7.9);
188,3408.1,-6.37,54.21,7.69);
189,3369.47,-6.61,53.92,7.7);
190,3413.01,-6.57,53.56,7.77);
191,3286.94,-6.63,52.21,8.38);
192,3338.26,-7.15,52.17,8.13);
193,3303.76,-6.74,52.97,7.88);
194,3304.02,-6.58,53.01,7.77);
195,3329.29,-6.66,53.73,7.91);
196,3367.07,-6.73,53.62,7.71);
197,3370.85,-6.56,53.6,7.74);
198,3376.58,-6.76,53.33,7.71);
199,3263.38,-6.59,52.53,8.36);
200,3364.95,-6.94,52.71,8.12);
201,3282.28,-6.72,53.04,7.91);
